nome,lat,lon
E.M. Aldo Zottarelli Junior,-22.2740885,-47.5540603
E.M. Ângela Mônaco Perin Aily,-22.2740885,-47.5540603
E.M. Antônio Maria Marrote,-22.4266235,-47.5674696
E.M. Antônio Sebastião da Silva,-22.2740885,-47.5540603
E.M. Aparecida José Carlini Bonilha,-22.417039,-47.5835072
E.M. Arlindo Ansanello,-22.2740885,-47.5540603
E.M. Armando Grisi,-22.4298487,-47.5882639
E.M. Benedicto José Zaine,-22.2576882,-47.5904891
E.M. Benjamin Ferreira,-22.4114279,-47.5531641
E.M. Caminho da Vida Profª Margarida Penteado,-22.2740885,-47.5540603
E.M. Celeste Calil,-22.4070236,-47.602954
E.M. Clara Freire Castellano,-22.3883681,-47.5931886
E.M. Comecinho de Vida Professora Diva Cabral de Oliveira,-22.3911423,-47.5515507
E.M. Dante Egreggio,-22.2740885,-47.5540603
E.M. Darci Reginatto,-22.4021166,-47.5647848
E.M. Dennizard França Machado,-22.2740885,-47.5540603
E.M. Diva Marques Gouvêa,-22.4208262,-47.5647688
E.M. Djalma Camargo Outeiro Pinto Dr.,-22.4060355,-47.5666877
E.M. Djiliah Camargo de Souza,-22.2740885,-47.5540603
E.M. Dom Pedro I,-22.3950944,-47.5599304
E.M. Edna Cristina Fardim Fernandes,-22.2740885,-47.5540603
E.M. Elpídio Mina,-22.3903617,-47.5472239
E.M. Ephraim Ribeiro dos Santos,-22.3822186,-47.548947
E.M. Francesco Paoli,-22.2740885,-47.5540603
E.M. Francisca Coan,-22.2740885,-47.5540603
E.M. Gisele Brizotti Ferraz Ferreira,-22.2740885,-47.5540603
E.M. Gunar Wilhelm Koelle,-22.4469617,-47.5847635
E.M. Hamilton Prado,-22.3945831,-47.5686978
E.M. Hélio Jorge dos Santos,-22.2740885,-47.5540603
E.M. Isolina Huppert Cassavia,-22.4339592,-47.5815071
E.M. Jardim das Palmeiras,-22.4339592,-47.5815071
E.M. João Batista Maule,-22.4924421,-47.5824468
E.M. João Rehder Netto,-22.396138,-47.5735494
E.M. José de Campos Chagas,-22.3885042,-47.5734441
E.M. José Martins da Silva,-22.4297998,-47.5842257
E.M. Jovelina Morateli,-22.372289,-47.5419935
E.M. Laura Penna Joly,-22.3067982,-47.5433779
E.M. Lúcia Aparecida Buschinelli Carneiro,-22.4307747,-47.5883783
E.M. Lúcia Helena Ferreira Camargo,-22.2740885,-47.5540603
E.M. Lucidia T. Cassavia Escrivão Soares,-22.3801951,-47.5902328
E.M. Luiz Martins Rodrigues Filho,-22.4069184,-47.6026434
E.M. Lygia do Carmo P. Vendramel,-22.3826949,-47.5441816
E.M. Marcello Schmidt,-22.417466,-47.5775459
E.M. Marcello Schmidt Unidade 2,-22.2814694,-47.5502469
E.M. Maria Aparecida Polastri Hartung - Dona Birro,-22.4189225,-47.5601911
E.M. Maria Isabel Soares,-22.4266235,-47.5674696
E.M. Maria Teixeira Fittipaldi,-22.2740885,-47.5540603
E.M. Marilda dos Santos Souza,-22.4265045,-47.5800681
E.M. Marina Fredine Dainese Cyrino,-22.2740885,-47.5540603
E.M. Mitiko Matsushita Nevoeiro,-22.2740885,-47.5540603
E.M. Monsenhor Martins,-22.2740885,-47.5540603
E.M. Monteiro Lobato,-22.3804984,-47.5588675
E.M. Mora Guimarães,-22.3801951,-47.5902328
E.M. Nephtali Vieira Junior Pastor,-22.2740885,-47.5540603
E.M. Octávio José Chiossi,-22.2740885,-47.5540603
E.M. Paulo Koelle Dr.,-22.2814694,-47.5502469
E.M. Rosa Maria Castellano Pieroni,-22.2740885,-47.5540603
E.M. Rubens Foot Guimarães - Escola Agrícola,-22.3067982,-47.5433779
E.M. Rutinéia Paulino de Souza Ferreira da Silva,-22.2740885,-47.5540603
E.M. Samira Assêncio Savoldi,-22.3997222,-47.588475
E.M. Santo Antônio de Pádua,-22.2740885,-47.5540603
E.M. Sebastião Ambrózio,-22.2740885,-47.5540603
E.M. Sérgio Hernani Fittipaldi,-22.3775292,-47.5818228
E.M. Sueli Aparecida Marin,-22.2740885,-47.5540603
E.M. Sueli Maria Proni Cerri,-22.3846774,-47.5544353
E.M. Sylvio de Araújo,-22.382074,-47.5461148
E.M. Theodoro Paulo Koelle,-22.4516504,-47.5852826
E.M. Victorino Machado,-22.378445,-47.5616079
Programa Integra - Jardim das Palmeiras (CAIC),-22.2740885,-47.5540603
Programa Integra - Sérgio Hernani Fittipaldi,-22.3825809,-47.5253253
Programa Integra - Sueli Aparecida Marin,-22.3825809,-47.5253253
Programa Integra - Sylvio de Araújo,-22.382074,-47.5461148
Programa Integra - Victorino Machado,-22.3825809,-47.5253253
